医薬品コード,名称,薬価基準収載医薬品コード
621993601,リスペリドンＯＤ錠３ｍｇ「サワイ」,1179038F8036
622001401,リスペリドン錠０．５ｍｇ「アメル」,1179038F4057
622008101,リスペリドン内用液３ｍｇ分包「マイラン」　０．１％３ｍＬ,1179038S5035
622008102,リスペリドン内用液３ｍｇ分包「ファイザー」　０．１％３ｍＬ,1179038S5051
622012601,リスペリドンＯＤ錠３ｍｇ「トーワ」,1179038F8044
622028201,インヴェガ錠３ｍｇ,1179053G1023
622028301,インヴェガ錠６ｍｇ,1179053G2020
622028401,インヴェガ錠９ｍｇ,1179053G3026
622034801,リスペリドン錠３ｍｇ「日医工」,1179038F3158
622043901,リスペリドンＯＤ錠１ｍｇ「ヨシトミ」,1179038F5070
622044001,リスペリドンＯＤ錠２ｍｇ「ヨシトミ」,1179038F6076
622044101,リスペリドンＯＤ錠３ｍｇ「ヨシトミ」,1179038F8060
622054301,リスペリドン錠３ｍｇ「ＣＨ」,1179038F3166
622092401,ペロスピロン塩酸塩錠４ｍｇ「アメル」,1179043F1040
622092501,ペロスピロン塩酸塩錠８ｍｇ「アメル」,1179043F2047
622092601,ペロスピロン塩酸塩錠１６ｍｇ「アメル」,1179043F3035
622093901,リスペリドンＯＤ錠０．５ｍｇ「タカタ」,1179038F7030
622129701,リスペリドン内用液分包０．５ｍｇ「日医工」　０．１％０．５ｍＬ,1179038S2052
622129801,リスペリドン内用液分包１ｍｇ「日医工」　０．１％１ｍＬ,1179038S3059
622129901,リスペリドン内用液分包２ｍｇ「日医工」　０．１％２ｍＬ,1179038S4055
622130001,リスペリドン内用液分包３ｍｇ「日医工」　０．１％３ｍＬ,1179038S5043
622134702,リスペリドン錠０．５「ＭＥＥＫ」　０．５ｍｇ,1179038F4073
622135201,エビリファイＯＤ錠３ｍｇ,1179045F4022
622135301,エビリファイＯＤ錠６ｍｇ,1179045F5029
622135401,エビリファイＯＤ錠１２ｍｇ,1179045F6025
622135501,エビリファイＯＤ錠２４ｍｇ,1179045F7021
622180001,クエチアピン錠２５ｍｇ「明治」,1179042F1194
622180101,クエチアピン錠１００ｍｇ「明治」,1179042F2190
622180201,クエチアピン錠２００ｍｇ「明治」,1179042F3197
622185101,クエチアピン錠２５ｍｇ「ＡＡ」,1179042F1038
622185201,クエチアピン錠１００ｍｇ「ＡＡ」,1179042F2034
622185301,クエチアピン錠２００ｍｇ「ＡＡ」,1179042F3030
622192701,クエチアピン錠２５ｍｇ「ＥＥ」,1179042F1054
622192801,クエチアピン錠５０ｍｇ「ＥＥ」,1179042F5025
622192901,クエチアピン錠１００ｍｇ「ＥＥ」,1179042F2050
622193001,クエチアピン錠２００ｍｇ「ＥＥ」,1179042F3057
622193101,クエチアピン細粒５０％「ＥＥ」,1179042C1031
622193901,クエチアピン錠２５ｍｇ「トーワ」,1179042F1151
622194001,クエチアピン錠１００ｍｇ「トーワ」,1179042F2158
622194101,クエチアピン錠２００ｍｇ「トーワ」,1179042F3154
622194201,クエチアピン細粒５０％「トーワ」,1179042C1082
622194301,リスペリドンＯＤ錠０．５ｍｇ「トーワ」,1179038F7056
622196001,クエチアピン細粒５０％「テバ」,1179042C1074
622196101,クエチアピン錠２５ｍｇ「テバ」,1179042F1143
622196201,クエチアピン錠１００ｍｇ「テバ」,1179042F2140
622196301,クエチアピン錠２００ｍｇ「テバ」,1179042F3146
622197501,クエチアピン錠２５ｍｇ「日新」,1179042F1178
622197601,クエチアピン錠１００ｍｇ「日新」,1179042F2174
622197701,クエチアピン錠２００ｍｇ「日新」,1179042F3170
622200501,クエチアピン錠１２．５ｍｇ「アメル」,1179042F4029
622200601,クエチアピン錠２５ｍｇ「アメル」,1179042F1100
622200701,クエチアピン錠１００ｍｇ「アメル」,1179042F2107
622200801,クエチアピン錠２００ｍｇ「アメル」,1179042F3103
622200901,クエチアピン細粒５０％「アメル」,1179042C1040
622203001,クエチアピン錠２５ｍｇ「ＭＥＥＫ」,1179042F1089
622203101,クエチアピン錠１００ｍｇ「ＭＥＥＫ」,1179042F2085
622203201,クエチアピン錠２００ｍｇ「ＭＥＥＫ」,1179042F3081
622204101,クエチアピン錠２５ｍｇ「ＪＧ」,1179042F1070
622204201,クエチアピン錠１００ｍｇ「ＪＧ」,1179042F2077
622204301,クエチアピン錠２００ｍｇ「ＪＧ」,1179042F3073
622205601,クエチアピン錠２５ｍｇ「ファイザー」,1179042F1186
622205701,クエチアピン錠１００ｍｇ「ファイザー」,1179042F2182
622205801,クエチアピン錠２００ｍｇ「ファイザー」,1179042F3189
622207801,クエチアピン錠２５ｍｇ「日医工」,1179042F1160
622207901,クエチアピン錠１００ｍｇ「日医工」,1179042F2166
622208001,クエチアピン錠２００ｍｇ「日医工」,1179042F3162
622209801,クエチアピン錠２５ｍｇ「ＤＳＥＰ」,1179042F1046
622209901,クエチアピン錠１００ｍｇ「ＤＳＥＰ」,1179042F2042
622210001,クエチアピン錠２００ｍｇ「ＤＳＥＰ」,1179042F3049
622210701,ジプレキサ筋注用１０ｍｇ,1179408E1020
622210801,クエチアピン錠２５ｍｇ「ＮＰ」,1179042F1097
622210901,クエチアピン錠１００ｍｇ「ＮＰ」,1179042F2093
622211001,クエチアピン錠２００ｍｇ「ＮＰ」,1179042F3090
622212001,クエチアピン錠２５ｍｇ「ＦＦＰ」,1179042F1062
622212101,クエチアピン錠１００ｍｇ「ＦＦＰ」,1179042F2069
622212201,クエチアピン錠２００ｍｇ「ＦＦＰ」,1179042F3065
622214501,クエチアピン錠２５ｍｇ「サンド」,1179042F1127
622214601,クエチアピン錠１００ｍｇ「サンド」,1179042F2123
622214701,クエチアピン錠２００ｍｇ「サンド」,1179042F3120
622217901,クエチアピン錠２５ｍｇ「三和」,1179042F1135
622218001,クエチアピン錠１００ｍｇ「三和」,1179042F2131
622218101,クエチアピン錠２００ｍｇ「三和」,1179042F3138
622218201,クエチアピン細粒５０％「三和」,1179042C1066
622218601,クエチアピン錠２５ｍｇ「サワイ」,1179042F1119
622218701,クエチアピン錠５０ｍｇ「サワイ」,1179042F5033
622218801,クエチアピン錠１００ｍｇ「サワイ」,1179042F2115
622218901,クエチアピン錠２００ｍｇ「サワイ」,1179042F3111
622219001,クエチアピン細粒５０％「サワイ」,1179042C1058
622219801,リスペリドンＯＤ錠０．５ｍｇ「サワイ」,1179038F7048
622224101,リスペリドン錠０．５ｍｇ「マイラン」,1179038F4081
622224102,リスペリドン錠０．５ｍｇ「ファイザー」,1179038F4090
622235701,リスペリドンＯＤ錠０．５ｍｇ「ヨシトミ」,1179038F7072
622237601,クエチアピン錠５０ｍｇ「アメル」,1179042F5041
622238201,リスペリドンＯＤ錠０．５ｍｇ「アメル」,1179038F7064
622238301,リスペリドンＯＤ錠３ｍｇ「アメル」,1179038F8052
622278301,ゼプリオン水懸筋注２５ｍｇシリンジ,1179409G1025
622278401,ゼプリオン水懸筋注５０ｍｇシリンジ,1179409G2021
622278501,ゼプリオン水懸筋注７５ｍｇシリンジ,1179409G3028
622278601,ゼプリオン水懸筋注１００ｍｇシリンジ,1179409G4024
622278701,ゼプリオン水懸筋注１５０ｍｇシリンジ,1179409G5020
622210803,クエチアピン錠２５ｍｇ「ヨシトミ」,1179042F1208
622210903,クエチアピン錠１００ｍｇ「ヨシトミ」,1179042F2204
622211003,クエチアピン錠２００ｍｇ「ヨシトミ」,1179042F3200
622312900,クエチアピンフマル酸塩２５ｍｇ錠,1179042F1011
622313000,クエチアピンフマル酸塩１００ｍｇ錠,1179042F2018
622313100,クエチアピンフマル酸塩２００ｍｇ錠,1179042F3014
622325100,リスペリドン１ｍｇ錠,1179038F1015
622325200,リスペリドン２ｍｇ錠（１）,1179038F2011
622325300,リスペリドン３ｍｇ錠,1179038F3018
622335401,クエチアピン細粒５０％「ヨシトミ」,1179042C1090
622368801,クエチアピン錠１２．５ｍｇ「明治」,1179042F4045
622368901,クエチアピン錠５０ｍｇ「明治」,1179042F5068
622400101,クエチアピン錠１２．５ｍｇ「ＭＥＥＫ」,1179042F4037
622400201,クエチアピン錠５０ｍｇ「ＭＥＥＫ」,1179042F5050
622409601,エビリファイ持続性水懸筋注用３００ｍｇ　（懸濁用液付）,1179410E1027
622409701,エビリファイ持続性水懸筋注用４００ｍｇ　（懸濁用液付）,1179410E2023
622409801,エビリファイ持続性水懸筋注用３００ｍｇシリンジ,1179410G1028
622409901,エビリファイ持続性水懸筋注用４００ｍｇシリンジ,1179410G2024
622418701,クエチアピン細粒１０％「アメル」,1179042C2020
622423001,クエチアピン細粒５０％「明治」,1179042C1112
622434001,クエチアピン細粒５０％「ＭＥＥＫ」,1179042C1104
622455001,ジプレキサザイディス錠２．５ｍｇ,1179044F6020
622472401,オランザピン錠２．５ｍｇ「ＹＤ」,1179044F1010
622472501,オランザピン錠５ｍｇ「ＹＤ」,1179044F2017
622472601,オランザピン錠１０ｍｇ「ＹＤ」,1179044F3013
622478501,オランザピンＯＤ錠１０ｍｇ「トーワ」,1179044F5105
622478601,オランザピンＯＤ錠２．５ｍｇ「トーワ」,1179044F6101
622478701,オランザピンＯＤ錠５ｍｇ「トーワ」,1179044F4109
622478801,オランザピン細粒１％「トーワ」,1179044C1073
622478901,オランザピン錠１０ｍｇ「トーワ」,1179044F3145
622479001,オランザピン錠２．５ｍｇ「トーワ」,1179044F1142
622479101,オランザピン錠５ｍｇ「トーワ」,1179044F2149
622479901,オランザピン錠２．５ｍｇ「ＤＳＥＰ」,1179044F1010
622480001,オランザピン錠５ｍｇ「ＤＳＥＰ」,1179044F2033
622480101,オランザピン錠１０ｍｇ「ＤＳＥＰ」,1179044F3030
622480201,オランザピンＯＤ錠２．５ｍｇ「ＤＳＥＰ」,1179044F6039
622480301,オランザピンＯＤ錠５ｍｇ「ＤＳＥＰ」,1179044F4036
622480401,オランザピンＯＤ錠１０ｍｇ「ＤＳＥＰ」,1179044F5032
622480501,オランザピン細粒１％「ＤＳＥＰ」,1179044C1030
622481101,オランザピンＯＤ錠２．５ｍｇ「ＴＣＫ」,1179044F6012
622481201,オランザピンＯＤ錠５ｍｇ「ＴＣＫ」,1179044F4052
622481301,オランザピンＯＤ錠１０ｍｇ「ＴＣＫ」,1179044F5059
622482201,オランザピン錠２．５ｍｇ「三和」,1179044F1126
622482301,オランザピン錠５ｍｇ「三和」,1179044F2122
622482401,オランザピン錠１０ｍｇ「三和」,1179044F3129
622482801,オランザピンＯＤ錠５ｍｇ「タカタ」,1179044F4010
622482901,オランザピンＯＤ錠１０ｍｇ「タカタ」,1179044F5016
622483201,オランザピンＯＤ錠２．５ｍｇ「タカタ」,1179044F6012
622483601,オランザピン錠２．５ｍｇ「杏林」,1179044F1010
622483701,オランザピン錠５ｍｇ「杏林」,1179044F2017
622483801,オランザピン錠１０ｍｇ「杏林」,1179044F3013
622483901,オランザピンＯＤ錠２．５ｍｇ「杏林」,1179044F6012
622484001,オランザピンＯＤ錠５ｍｇ「杏林」,1179044F4010
622484101,オランザピンＯＤ錠１０ｍｇ「杏林」,1179044F5016
622485801,オランザピン錠２．５ｍｇ「オーハラ」,1179044F1096
622485901,オランザピン錠５ｍｇ「オーハラ」,1179044F2017
622486001,オランザピン錠１０ｍｇ「オーハラ」,1179044F3099
622486401,オランザピン細粒１％「オーハラ」,1179044C1057
622490201,オランザピン錠２．５ｍｇ「ＪＧ」,1179044F1010
622490301,オランザピン錠５ｍｇ「ＪＧ」,1179044F2017
622490401,オランザピン錠１０ｍｇ「ＪＧ」,1179044F3013
622490501,オランザピンＯＤ錠２．５ｍｇ「ＪＧ」,1179044F6012
622490601,オランザピンＯＤ錠５ｍｇ「ＪＧ」,1179044F4010
622490701,オランザピンＯＤ錠１０ｍｇ「ＪＧ」,1179044F5016
622492701,オランザピン錠２．５ｍｇ「ＫＮ」,1179044F1010
622492801,オランザピン錠５ｍｇ「ＫＮ」,1179044F2017
622492901,オランザピン錠２．５ｍｇ「日新」,1179044F1010
622493001,オランザピン錠５ｍｇ「日新」,1179044F2165
622493101,オランザピン錠１０ｍｇ「日新」,1179044F3013
622493601,オランザピン錠２．５ｍｇ「ファイザー」,1179044F1010
622493701,オランザピン錠５ｍｇ「ファイザー」,1179044F2017
622493801,オランザピン錠１０ｍｇ「ファイザー」,1179044F3013
622493901,オランザピンＯＤ錠２．５ｍｇ「ファイザー」,1179044F6012
622494001,オランザピンＯＤ錠５ｍｇ「ファイザー」,1179044F4010
622494101,オランザピンＯＤ錠１０ｍｇ「ファイザー」,1179044F5016
622494201,オランザピン細粒１％「ファイザー」,1179044C1103
622494701,オランザピン錠２．５ｍｇ「テバ」,1179044F1134
622494801,オランザピン錠５ｍｇ「テバ」,1179044F2130
622494901,オランザピン錠１０ｍｇ「テバ」,1179044F3137
622495001,オランザピンＯＤ錠２．５ｍｇ「テバ」,1179044F6098
622495101,オランザピンＯＤ錠５ｍｇ「テバ」,1179044F4095
622495201,オランザピンＯＤ錠１０ｍｇ「テバ」,1179044F5016
622496801,シクレスト舌下錠５ｍｇ,1179056F1021
622496901,シクレスト舌下錠１０ｍｇ,1179056F2028
622497101,オランザピン錠１０ｍｇ「ＫＮ」,1179044F3013
622497201,オランザピン錠２０ｍｇ「ＫＮ」,1179044F8031
622497301,オランザピン錠２．５ｍｇ「サワイ」,1179044F1118
622497401,オランザピン錠５ｍｇ「サワイ」,1179044F2114
622497501,オランザピン錠１０ｍｇ「サワイ」,1179044F3110
622497601,オランザピン細粒１％「サワイ」,1179044C1065
622498601,オランザピン錠１．２５ｍｇ「アメル」,1179044F7027
622498701,オランザピン錠２．５ｍｇ「アメル」,1179044F1010
622498801,オランザピン錠５ｍｇ「アメル」,1179044F2017
622498901,オランザピン錠１０ｍｇ「アメル」,1179044F3013
622499001,オランザピン錠２０ｍｇ「アメル」,1179044F8040
622499101,オランザピン細粒１％「アメル」,1179044C1014
622499201,オランザピンＯＤ錠１．２５ｍｇ「アメル」,1179044F9020
622499301,オランザピンＯＤ錠２．５ｍｇ「アメル」,1179044F6012
622499401,オランザピンＯＤ錠５ｍｇ「アメル」,1179044F4010
622499501,オランザピンＯＤ錠１０ｍｇ「アメル」,1179044F5016
622500701,オランザピンＯＤ錠５ｍｇ「日医工」,1179044F4010
622500801,オランザピンＯＤ錠１０ｍｇ「日医工」,1179044F5016
622500901,オランザピン錠２．５ｍｇ「日医工」,1179044F1010
622501001,オランザピン錠５ｍｇ「日医工」,1179044F2017
622501101,オランザピン錠１０ｍｇ「日医工」,1179044F3013
622501201,オランザピン細粒１％「日医工」,1179044C1081
622502001,オランザピン錠２．５ｍｇ「明治」,1179044F1193
622502101,オランザピン錠５ｍｇ「明治」,1179044F2190
622502201,オランザピン錠１０ｍｇ「明治」,1179044F3196
622502301,オランザピンＯＤ錠２．５ｍｇ「明治」,1179044F6128
622502401,オランザピンＯＤ錠５ｍｇ「明治」,1179044F4141
622502501,オランザピンＯＤ錠１０ｍｇ「明治」,1179044F5016
622502601,オランザピン細粒１％「明治」,1179044C1111
622503201,オランザピン錠２．５ｍｇ「ＥＥ」,1179044F1010
622503301,オランザピン錠５ｍｇ「ＥＥ」,1179044F2017
622503401,オランザピン錠１０ｍｇ「ＥＥ」,1179044F3013
622503501,オランザピン錠２０ｍｇ「ＥＥ」,1179044F8023
622503601,オランザピン錠２．５ｍｇ「ヨシトミ」,1179044F1010
622503701,オランザピン錠５ｍｇ「ヨシトミ」,1179044F2017
622503801,オランザピン錠１０ｍｇ「ヨシトミ」,1179044F3013
622503901,オランザピンＯＤ錠５ｍｇ「ヨシトミ」,1179044F4010
622504001,オランザピンＯＤ錠１０ｍｇ「ヨシトミ」,1179044F5156
622504101,オランザピン細粒１％「ヨシトミ」,1179044C1120
622506201,オランザピンＯＤ錠５ｍｇ「ニプロ」,1179044F4010
622506301,オランザピンＯＤ錠１０ｍｇ「ニプロ」,1179044F5016
622506401,オランザピン細粒１％「ニプロ」,1179044C1014
622506501,オランザピン錠２．５ｍｇ「ニプロ」,1179044F1010
622506601,オランザピン錠５ｍｇ「ニプロ」,1179044F2017
622506701,オランザピン錠１０ｍｇ「ニプロ」,1179044F3013
622511401,オランザピン細粒１％「タカタ」,1179044C1146
622514601,エビリファイ錠１ｍｇ,1179045F8028
622519801,オランザピン細粒１％「日新」,1179044C1014
622522401,オランザピン細粒１％「杏林」,1179044C1014
622536601,アリピプラゾールＯＤ錠３ｍｇ「杏林」,1179045F4014
622536701,アリピプラゾールＯＤ錠６ｍｇ「杏林」,1179045F5010
622536801,アリピプラゾールＯＤ錠１２ｍｇ「杏林」,1179045F6017
622536901,アリピプラゾールＯＤ錠２４ｍｇ「杏林」,1179045F7013
622538601,アリピプラゾール細粒１％「タカタ」,1179045C1027
622538701,アリピプラゾール錠３ｍｇ「タカタ」,1179045F1082
622538801,アリピプラゾール錠６ｍｇ「タカタ」,1179045F2089
622538901,アリピプラゾール錠１２ｍｇ「タカタ」,1179045F3018
622539001,アリピプラゾールＯＤ錠３ｍｇ「タカタ」,1179045F4014
622539101,アリピプラゾールＯＤ錠６ｍｇ「タカタ」,1179045F5070
622539201,アリピプラゾールＯＤ錠１２ｍｇ「タカタ」,1179045F6017
622539301,アリピプラゾールＯＤ錠２４ｍｇ「タカタ」,1179045F7013
622539401,アリピプラゾール内用液３ｍｇ分包「タカタ」　０．１％３ｍＬ,1179045S2060
622539501,アリピプラゾール内用液６ｍｇ分包「タカタ」　０．１％６ｍＬ,1179045S3067
622539601,アリピプラゾール内用液１２ｍｇ分包「タカタ」　０．１％１２ｍＬ,1179045S4063
622541601,アリピプラゾール内用液３ｍｇ分包「トーワ」　０．１％３ｍＬ,1179045S2079
622541701,アリピプラゾール内用液６ｍｇ分包「トーワ」　０．１％６ｍＬ,1179045S3075
622541801,アリピプラゾール内用液１２ｍｇ分包「トーワ」　０．１％１２ｍＬ,1179045S4071
622541901,アリピプラゾール錠３ｍｇ「トーワ」,1179045F1090
622542001,アリピプラゾール錠６ｍｇ「トーワ」,1179045F2097
622542101,アリピプラゾール錠１２ｍｇ「トーワ」,1179045F3093
622542201,アリピプラゾール錠２４ｍｇ「トーワ」,1179045F9067
622542301,アリピプラゾール散１％「トーワ」,1179045B1056
622542401,アリピプラゾールＯＤ錠３ｍｇ「トーワ」,1179045F4090
622542501,アリピプラゾールＯＤ錠６ｍｇ「トーワ」,1179045F5096
622542601,アリピプラゾールＯＤ錠１２ｍｇ「トーワ」,1179045F6092
622542701,アリピプラゾールＯＤ錠２４ｍｇ「トーワ」,1179045F7013
622545401,アリピプラゾール錠３ｍｇ「ＹＤ」,1179045F1015
622545501,アリピプラゾール錠６ｍｇ「ＹＤ」,1179045F2011
622545601,アリピプラゾール錠１２ｍｇ「ＹＤ」,1179045F3018
622545701,アリピプラゾール錠２４ｍｇ「ＹＤ」,1179045F9016
