医薬品コード,名称,薬価基準収載医薬品コード
620008105,ミルナシプラン塩酸塩錠２５ｍｇ「日医工」,1179040F2124
620008497,トレドミン錠１２．５ｍｇ,1179040F3023
620008498,トレドミン錠５０ｍｇ,1179040F4020
620009123,トレドミン錠１５ｍｇ,1179040F1136
620009124,トレドミン錠２５ｍｇ,1179040F2132
621929501,レメロン錠１５ｍｇ,1179051F1037
621932101,リフレックス錠１５ｍｇ,1179051F1029
621943501,ミルナシプラン塩酸塩錠１５ｍｇ「マイラン」,1179040F1144
621943601,ミルナシプラン塩酸塩錠２５ｍｇ「マイラン」,1179040F2140
621965101,ミルナシプラン塩酸塩錠５０ｍｇ「サワイ」,1179040F4038
621978201,サインバルタカプセル２０ｍｇ,1179052M1022
621978301,サインバルタカプセル３０ｍｇ,1179052M2029
621980301,ミルナシプラン塩酸塩錠１２．５ｍｇ「アメル」,1179040F3031
621980401,ミルナシプラン塩酸塩錠５０ｍｇ「アメル」,1179040F4062
621982501,ミルナシプラン塩酸塩錠５０ｍｇ「ＡＦＰ」,1179040F4046
621986801,ミルナシプラン塩酸塩錠１２．５ｍｇ「日医工」,1179040F3058
621986901,ミルナシプラン塩酸塩錠５０ｍｇ「日医工」,1179040F4070
621993401,ミルナシプラン塩酸塩錠１２．５ｍｇ「サワイ」,1179040F3040
621993501,ミルナシプラン塩酸塩錠５０ｍｇ「ＴＹＫ」,1179040F4054
621998401,フルボキサミンマレイン酸塩錠２５ｍｇ「ＥＭＥＣ」,1179039F1052
621998501,フルボキサミンマレイン酸塩錠５０ｍｇ「ＥＭＥＣ」,1179039F2059
621998601,フルボキサミンマレイン酸塩錠７５ｍｇ「ＥＭＥＣ」,1179039F3055
622000101,フルボキサミンマレイン酸塩錠２５ｍｇ「ＹＤ」,1179039F1109
622000201,フルボキサミンマレイン酸塩錠５０ｍｇ「ＹＤ」,1179039F2105
622000301,フルボキサミンマレイン酸塩錠７５ｍｇ「ＹＤ」,1179039F3101
622000901,フルボキサミンマレイン酸塩錠２５ｍｇ「アメル」,1179039F1117
622001001,フルボキサミンマレイン酸塩錠５０ｍｇ「アメル」,1179039F2113
622001101,フルボキサミンマレイン酸塩錠７５ｍｇ「アメル」,1179039F3110
622001901,フルボキサミンマレイン酸塩錠２５ｍｇ「ＴＣＫ」,1179039F1095
622002001,フルボキサミンマレイン酸塩錠５０ｍｇ「ＴＣＫ」,1179039F2091
622002101,フルボキサミンマレイン酸塩錠７５ｍｇ「ＴＣＫ」,1179039F3098
622003001,パキシル錠５ｍｇ,1179041F3028
622004401,フルボキサミンマレイン酸塩錠２５ｍｇ「タカタ」,1179039F1150
622004501,フルボキサミンマレイン酸塩錠５０ｍｇ「タカタ」,1179039F2156
622004601,フルボキサミンマレイン酸塩錠７５ｍｇ「タカタ」,1179039F3152
622007701,フルボキサミンマレイン酸塩錠２５ｍｇ「マイラン」,1179039F1176
622007702,フルボキサミンマレイン酸塩錠２５ｍｇ「ファイザー」,1179039F1206
622007801,フルボキサミンマレイン酸塩錠５０ｍｇ「マイラン」,1179039F2172
622007802,フルボキサミンマレイン酸塩錠５０ｍｇ「ファイザー」,1179039F2202
622007901,フルボキサミンマレイン酸塩錠７５ｍｇ「マイラン」,1179039F3179
622007902,フルボキサミンマレイン酸塩錠７５ｍｇ「ファイザー」,1179039F3209
622008001,ミルナシプラン塩酸塩錠１２．５ｍｇ「マイラン」,1179040F3090
622010601,フルボキサミンマレイン酸塩錠２５ｍｇ「サワイ」,1179039F1141
622010701,フルボキサミンマレイン酸塩錠５０ｍｇ「サワイ」,1179039F2148
622010801,フルボキサミンマレイン酸塩錠７５ｍｇ「サワイ」,1179039F3144
622018101,フルボキサミンマレイン酸塩錠２５ｍｇ「ＣＨ」,1179039F1044
622018201,フルボキサミンマレイン酸塩錠５０ｍｇ「ＣＨ」,1179039F2040
622018301,フルボキサミンマレイン酸塩錠７５ｍｇ「ＣＨ」,1179039F3047
622020302,フルボキサミンマレイン酸塩錠２５ｍｇ「ＴＹＫ」,1179039F1192
622020402,フルボキサミンマレイン酸塩錠５０ｍｇ「ＴＹＫ」,1179039F2199
622020502,フルボキサミンマレイン酸塩錠７５ｍｇ「ＴＹＫ」,1179039F3195
622021101,フルボキサミンマレイン酸塩錠２５ｍｇ「ＦＦＰ」,1179039F1060
622021201,フルボキサミンマレイン酸塩錠５０ｍｇ「ＦＦＰ」,1179039F2067
622021301,フルボキサミンマレイン酸塩錠７５ｍｇ「ＦＦＰ」,1179039F3063
622021601,ミルナシプラン塩酸塩錠１２．５ｍｇ「ＡＦＰ」,1179040F3066
622022601,ミルナシプラン塩酸塩錠１２．５ｍｇ「ＪＧ」,1179040F3074
622022701,フルボキサミンマレイン酸塩錠２５ｍｇ「ＪＧ」,1179039F1079
622022801,フルボキサミンマレイン酸塩錠５０ｍｇ「ＪＧ」,1179039F2075
622022902,フルボキサミンマレイン酸塩錠７５ｍｇ「ＪＧ」,1179039F3071
622029201,ミルナシプラン塩酸塩錠１２．５ｍｇ「ＴＹＫ」,1179040F3082
622031101,フルボキサミンマレイン酸塩錠２５ｍｇ「杏林」,1179039F1125
622031201,フルボキサミンマレイン酸塩錠５０ｍｇ「杏林」,1179039F2121
622031301,フルボキサミンマレイン酸塩錠７５ｍｇ「杏林」,1179039F3128
622032501,フルボキサミンマレイン酸塩錠２５ｍｇ「ＮＰ」,1179039F1087
622032601,フルボキサミンマレイン酸塩錠５０ｍｇ「ＮＰ」,1179039F2083
622032701,フルボキサミンマレイン酸塩錠７５ｍｇ「ＮＰ」,1179039F3080
622035001,フルボキサミンマレイン酸塩錠２５ｍｇ「日医工」,1179039F1168
622035101,フルボキサミンマレイン酸塩錠５０ｍｇ「日医工」,1179039F2164
622035201,フルボキサミンマレイン酸塩錠７５ｍｇ「日医工」,1179039F3160
622055001,フルボキサミンマレイン酸塩錠２５ｍｇ「トーワ」,1179039F1184
622055101,フルボキサミンマレイン酸塩錠５０ｍｇ「トーワ」,1179039F2180
622055201,フルボキサミンマレイン酸塩錠７５ｍｇ「トーワ」,1179039F3187
622055301,ミルナシプラン塩酸塩錠１２．５ｍｇ「トーワ」,1179040F3120
622055401,ミルナシプラン塩酸塩錠５０ｍｇ「トーワ」,1179040F4119
622058301,ミルナシプラン塩酸塩錠１２．５ｍｇ「タイヨー」,1179040F3112
622058401,ミルナシプラン塩酸塩錠５０ｍｇ「タイヨー」,1179040F4100
622069502,レクサプロ錠１０ｍｇ,1179054F1022
622070701,ミルナシプラン塩酸塩錠５０ｍｇ「ＪＧ」,1179040F4089
622078701,ミルナシプラン塩酸塩錠１２．５ｍｇ「ＮＰ」,1179040F3104
622078801,ミルナシプラン塩酸塩錠５０ｍｇ「ＮＰ」,1179040F4097
622119601,ミルナシプラン塩酸塩錠５０ｍｇ「マイラン」,1179040F4127
622133801,パロキセチン錠５ｍｇ「明治」,1179041F3230
622133901,パロキセチン錠１０ｍｇ「明治」,1179041F1300
622134001,パロキセチン錠２０ｍｇ「明治」,1179041F2307
622135901,パキシルＣＲ錠１２．５ｍｇ,1179041G1020
622136001,パキシルＣＲ錠２５ｍｇ,1179041G2027
622137401,パロキセチン錠１０ｍｇ「ＥＥ」,1179041F1068
622137501,パロキセチン錠２０ｍｇ「ＥＥ」,1179041F2064
622138501,パロキセチン錠１０ｍｇ「オーハラ」,1179041F1181
622138601,パロキセチン錠２０ｍｇ「オーハラ」,1179041F2188
622140801,パロキセチン錠１０ｍｇ「ＫＮ」,1179041F1106
622140901,パロキセチン錠２０ｍｇ「ＫＮ」,1179041F2102
622141401,パロキセチン錠５ｍｇ「トーワ」,1179041F3192
622141501,パロキセチン錠１０ｍｇ「トーワ」,1179041F1254
622141601,パロキセチン錠２０ｍｇ「トーワ」,1179041F2250
622141701,パロキセチンＯＤ錠１０ｍｇ「トーワ」,1179041F4024
622141801,パロキセチンＯＤ錠２０ｍｇ「トーワ」,1179041F5020
622144301,パロキセチン錠５ｍｇ「アメル」,1179041F3133
622144401,パロキセチン錠１０ｍｇ「アメル」,1179041F1173
622144501,パロキセチン錠２０ｍｇ「アメル」,1179041F2170
622145601,パロキセチン錠５ｍｇ「タカタ」,1179041F3176
622145701,パロキセチン錠１０ｍｇ「タカタ」,1179041F1238
622145801,パロキセチン錠２０ｍｇ「タカタ」,1179041F2234
622147801,パロキセチン錠５ｍｇ「ファイザー」,1179041F3222
622147901,パロキセチン錠１０ｍｇ「ファイザー」,1179041F1289
622148001,パロキセチン錠２０ｍｇ「ファイザー」,1179041F2285
622150601,パロキセチン錠５ｍｇ「ＹＤ」,1179041F3125
622150701,パロキセチン錠１０ｍｇ「ＹＤ」,1179041F1165
622150801,パロキセチン錠２０ｍｇ「ＹＤ」,1179041F2161
622152701,パロキセチン錠５ｍｇ「日新」,1179041F3214
622152801,パロキセチン錠１０ｍｇ「日新」,1179041F1270
622152901,パロキセチン錠２０ｍｇ「日新」,1179041F2277
622154001,パロキセチン錠５ｍｇ「ＦＦＰ」,1179041F3079
622154101,パロキセチン錠１０ｍｇ「ＦＦＰ」,1179041F1084
622154201,パロキセチン錠２０ｍｇ「ＦＦＰ」,1179041F2080
622154701,パロキセチン錠５ｍｇ「ＫＯＧ」,1179041F3087
622154801,パロキセチン錠１０ｍｇ「ＫＯＧ」,1179041F1122
622154901,パロキセチン錠２０ｍｇ「ＫＯＧ」,1179041F2129
622156301,パロキセチン錠５ｍｇ「ＴＣＫ」,1179041F3109
622156401,パロキセチン錠１０ｍｇ「ＴＣＫ」,1179041F1149
622156501,パロキセチン錠２０ｍｇ「ＴＣＫ」,1179041F2145
622158801,パロキセチン錠５ｍｇ「Ｆ」,1179041F3060
622158901,パロキセチン錠１０ｍｇ「Ｆ」,1179041F1076
622159001,パロキセチン錠２０ｍｇ「Ｆ」,1179041F2072
622160001,パロキセチン錠５ｍｇ「ＡＡ」,1179041F3036
622160101,パロキセチン錠１０ｍｇ「ＡＡ」,1179041F1033
622160201,パロキセチン錠２０ｍｇ「ＡＡ」,1179041F2030
622160801,パロキセチン錠５ｍｇ「タナベ」,1179041F3184
622160901,パロキセチン錠１０ｍｇ「タナベ」,1179041F1246
622161001,パロキセチン錠２０ｍｇ「タナベ」,1179041F2242
622162701,パロキセチン錠５ｍｇ「ケミファ」,1179041F3141
622162801,パロキセチン錠１０ｍｇ「ケミファ」,1179041F1203
622162901,パロキセチン錠２０ｍｇ「ケミファ」,1179041F2200
622164001,パロキセチン錠５ｍｇ「ＴＳＵ」,1179041F3117
622164101,パロキセチン錠１０ｍｇ「ＴＳＵ」,1179041F1157
622164201,パロキセチン錠２０ｍｇ「ＴＳＵ」,1179041F2153
622164801,パロキセチン錠５ｍｇ「ＮＰ」,1179041F3095
622164901,パロキセチン錠１０ｍｇ「ＮＰ」,1179041F1130
622165001,パロキセチン錠２０ｍｇ「ＮＰ」,1179041F2137
622166301,パロキセチン錠１０ｍｇ「ＪＧ」,1179041F1092
622166401,パロキセチン錠２０ｍｇ「ＪＧ」,1179041F2099
622168201,パロキセチン錠５ｍｇ「サワイ」,1179041F3150
622168301,パロキセチン錠１０ｍｇ「サワイ」,1179041F1211
622168401,パロキセチン錠２０ｍｇ「サワイ」,1179041F2218
622170701,パロキセチン錠５ｍｇ「ＤＳＥＰ」,1179041F3052
622170801,パロキセチン錠１０ｍｇ「ＤＳＥＰ」,1179041F1050
622170901,パロキセチン錠２０ｍｇ「ＤＳＥＰ」,1179041F2056
622171901,パロキセチン錠１０ｍｇ「マイラン」,1179041F1297
622172001,パロキセチン錠２０ｍｇ「マイラン」,1179041F2293
622172801,パロキセチン錠５ｍｇ「日医工」,1179041F3206
622172901,パロキセチン錠１０ｍｇ「日医工」,1179041F1262
622173001,パロキセチン錠２０ｍｇ「日医工」,1179041F2269
622175101,パロキセチン錠５ｍｇ「ＤＫ」,1179041F3044
622175201,パロキセチン錠１０ｍｇ「ＤＫ」,1179041F1041
622175301,パロキセチン錠２０ｍｇ「ＤＫ」,1179041F2048
622176601,パロキセチン錠５ｍｇ「サンド」,1179041F3168
622176701,パロキセチン錠１０ｍｇ「サンド」,1179041F1220
622176801,パロキセチン錠２０ｍｇ「サンド」,1179041F2226
622181001,パロキセチン錠１０ｍｇ「科研」,1179041F1190
622181101,パロキセチン錠２０ｍｇ「科研」,1179041F2196
622182201,パロキセチン錠１０ｍｇ「ＫＯ」,1179041F1114
622182301,パロキセチン錠２０ｍｇ「ＫＯ」,1179041F2110
622205201,パロキセチン錠５ｍｇ「ＪＧ」,1179041F3249
622221201,パロキセチン錠５ｍｇ「科研」,1179041F3257
622234601,パロキセチン錠５ｍｇ「オーハラ」,1179041F3290
622236101,パロキセチンＯＤ錠５ｍｇ「トーワ」,1179041F6027
622249401,パロキセチン錠５ｍｇ「ＫＮ」,1179041F3273
622253001,パロキセチン錠５ｍｇ「ＥＥ」,1179041F3265
622254201,パロキセチン錠５ｍｇ「ザイダス」,1179041F3303
622254301,パロキセチン錠１０ｍｇ「ザイダス」,1179041F1319
622254401,パロキセチン錠２０ｍｇ「ザイダス」,1179041F2315
622262701,パロキセチン錠５ｍｇ「ＫＯ」,1179041F3281
622283401,パロキセチン錠５ｍｇ「テバ」,1179041F3311
622283501,パロキセチン錠１０ｍｇ「テバ」,1179041F1327
622283601,パロキセチン錠２０ｍｇ「テバ」,1179041F2323
622154702,パロキセチン錠５ｍｇ「ＮＰＩ」,1179041F3010
622154802,パロキセチン錠１０ｍｇ「ＮＰＩ」,1179041F1351
622154902,パロキセチン錠２０ｍｇ「ＮＰＩ」,1179041F2013
622356601,ジェイゾロフト錠１００ｍｇ,1179046F3020
622366901,ジェイゾロフトＯＤ錠２５ｍｇ,1179046F4027
622367001,ジェイゾロフトＯＤ錠５０ｍｇ,1179046F5023
622367101,ジェイゾロフトＯＤ錠１００ｍｇ,1179046F6020
622442801,セルトラリン錠２５ｍｇ「杏林」,1179046F1010
622442901,セルトラリン錠５０ｍｇ「杏林」,1179046F2016
622443601,セルトラリン錠２５ｍｇ「ＹＤ」,1179046F1060
622443701,セルトラリン錠５０ｍｇ「ＹＤ」,1179046F2067
622445101,セルトラリン錠２５ｍｇ「ケミファ」,1179046F1109
622445201,セルトラリン錠５０ｍｇ「ケミファ」,1179046F2105
622446701,セルトラリン錠２５ｍｇ「タナベ」,1179046F1150
622446801,セルトラリン錠５０ｍｇ「タナベ」,1179046F2156
622448101,セルトラリン錠２５ｍｇ「トーワ」,1179046F1176
622448201,セルトラリン錠５０ｍｇ「トーワ」,1179046F2172
622449501,イフェクサーＳＲカプセル３７．５ｍｇ,1179055N1021
622449601,イフェクサーＳＲカプセル７５ｍｇ,1179055N2028
622449701,セルトラリン錠２５ｍｇ「タカタ」,1179046F1141
622449801,セルトラリン錠５０ｍｇ「タカタ」,1179046F2148
622449901,セルトラリン錠１００ｍｇ「タカタ」,1179046F3055
622451601,セルトラリン錠２５ｍｇ「ＴＣＫ」,1179046F1052
622451701,セルトラリン錠５０ｍｇ「ＴＣＫ」,1179046F2059
622453501,セルトラリン錠２５ｍｇ「ＤＳＥＰ」,1179046F1036
622453601,セルトラリン錠５０ｍｇ「ＤＳＥＰ」,1179046F2032
622454601,セルトラリン錠２５ｍｇ「ＪＧ」,1179046F1044
622454701,セルトラリン錠５０ｍｇ「ＪＧ」,1179046F2040
622457501,セルトラリン錠２５ｍｇ「サワイ」,1179046F1117
622457601,セルトラリン錠５０ｍｇ「サワイ」,1179046F2113
622459601,セルトラリン錠２５ｍｇ「明治」,1179046F1206
622459701,セルトラリン錠５０ｍｇ「明治」,1179046F2202
622459801,セルトラリン錠１００ｍｇ「明治」,1179046F3071
622459901,セルトラリン錠２５ｍｇ「サンド」,1179046F1125
622460001,セルトラリン錠５０ｍｇ「サンド」,1179046F2016
622463301,セルトラリン錠２５ｍｇ「アメル」,1179046F1010
622463401,セルトラリン錠５０ｍｇ「アメル」,1179046F2016
622463501,セルトラリン錠１００ｍｇ「アメル」,1179046F3012
622463601,セルトラリンＯＤ錠２５ｍｇ「アメル」,1179046F4035
622463701,セルトラリンＯＤ錠５０ｍｇ「アメル」,1179046F5031
622463901,セルトラリン錠２５ｍｇ「三和」,1179046F1133
622464001,セルトラリン錠５０ｍｇ「三和」,1179046F2130
622464101,セルトラリン錠１００ｍｇ「三和」,1179046F3047
622466201,セルトラリン錠２５ｍｇ「日医工」,1179046F1184
622466301,セルトラリン錠５０ｍｇ「日医工」,1179046F2180
622467501,セルトラリン錠２５ｍｇ「ツルハラ」,1179046F1168
622467601,セルトラリン錠５０ｍｇ「ツルハラ」,1179046F2164
622467701,セルトラリン錠１００ｍｇ「ツルハラ」,1179046F3012
622469001,セルトラリン錠２５ｍｇ「科研」,1179046F1087
622469101,セルトラリン錠２５ｍｇ「ニプロ」,1179046F1010
622469201,セルトラリン錠５０ｍｇ「科研」,1179046F2083
622469301,セルトラリン錠５０ｍｇ「ニプロ」,1179046F2016
622473600,パロキセチン塩酸塩２０ｍｇ錠,1179041F2013
622473700,パロキセチン塩酸塩５ｍｇ錠,1179041F3010
622479401,セルトラリンＯＤ錠２５ｍｇ「トーワ」,1179046F4043
622479501,セルトラリンＯＤ錠５０ｍｇ「トーワ」,1179046F5040
622480601,セルトラリン錠１００ｍｇ「ＤＳＥＰ」,1179046F3080
622481601,セルトラリン錠１００ｍｇ「ＴＣＫ」,1179046F3101
622481901,セルトラリン錠１００ｍｇ「ケミファ」,1179046F3136
622482601,レメロン錠３０ｍｇ,1179051F2033
622484201,セルトラリン錠１００ｍｇ「杏林」,1179046F3128
622488601,パロキセチン錠５ｍｇ「アスペン」,1179041F3010
622488701,パロキセチン錠１０ｍｇ「アスペン」,1179041F1335
622488801,パロキセチン錠２０ｍｇ「アスペン」,1179041F2013
622491301,セルトラリン錠１００ｍｇ「ＪＧ」,1179046F3098
622496401,セルトラリン錠１００ｍｇ「サンド」,1179046F3012
622497001,リフレックス錠３０ｍｇ,1179051F2025
622497701,セルトラリン錠１００ｍｇ「サワイ」,1179046F3144
622504401,セルトラリン錠１００ｍｇ「タナベ」,1179046F3160
622505701,セルトラリン錠１００ｍｇ「科研」,1179046F3110
622507001,セルトラリン錠１００ｍｇ「ニプロ」,1179046F3012
622510601,セルトラリン錠１００ｍｇ「ＹＤ」,1179046F3187
622513301,セルトラリンＯＤ錠１００ｍｇ「トーワ」,1179046F6038
622513401,セルトラリン錠１００ｍｇ「トーワ」,1179046F3195
622528801,セルトラリン錠１００ｍｇ「日医工」,1179046F3209
622610900,塩酸セルトラリン２５ｍｇ錠,1179046F1010
622611000,塩酸セルトラリン５０ｍｇ錠,1179046F2016
622611100,塩酸セルトラリン１００ｍｇ錠,1179046F3012
622615500,パロキセチン塩酸塩１０ｍｇ錠,1179041F1017
622647601,ミルタザピン錠１５ｍｇ「ケミファ」,1179051F1118
622647701,ミルタザピン錠３０ｍｇ「ケミファ」,1179051F2114
622648101,ミルタザピン錠１５ｍｇ「ＹＤ」,1179051F1070
622648201,ミルタザピン錠３０ｍｇ「ＹＤ」,1179051F2076
622648801,ミルタザピン錠１５ｍｇ「ファイザー」,1179051F1185
622648901,ミルタザピン錠３０ｍｇ「ファイザー」,1179051F2181
622650201,ミルタザピンＯＤ錠１５ｍｇ「ＤＳＥＰ」,1179051F3021
622650301,ミルタザピンＯＤ錠３０ｍｇ「ＤＳＥＰ」,1179051F4028
622650701,ミルタザピン錠１５ｍｇ「ＴＣＫ」,1179051F1061
622650801,ミルタザピン錠３０ｍｇ「ＴＣＫ」,1179051F2068
622652401,ミルタザピン錠１５ｍｇ「ＥＥ」,1179051F1045
622652501,ミルタザピン錠１５ｍｇ「日医工」,1179051F1150
622652601,ミルタザピン錠３０ｍｇ「ＥＥ」,1179051F2041
622652701,ミルタザピン錠３０ｍｇ「日医工」,1179051F2157
622654201,ミルタザピンＯＤ錠１５ｍｇ「アメル」,1179051F3030
622654301,ミルタザピンＯＤ錠３０ｍｇ「アメル」,1179051F4036
622655801,ミルタザピンＯＤ錠１５ｍｇ「サワイ」,1179051F3048
622655901,ミルタザピンＯＤ錠３０ｍｇ「サワイ」,1179051F4044
622656001,ミルタザピン錠１５ｍｇ「サワイ」,1179051F1126
622656101,ミルタザピン錠３０ｍｇ「サワイ」,1179051F2122
622657501,ミルタザピン錠１５ｍｇ「トーワ」,1179051F1142
622657601,ミルタザピン錠３０ｍｇ「トーワ」,1179051F2149
622657701,ミルタザピンＯＤ錠１５ｍｇ「トーワ」,1179051F3056
622657801,ミルタザピンＯＤ錠３０ｍｇ「トーワ」,1179051F4052
622658701,ミルタザピン錠１５ｍｇ「日新」,1179051F1169
622658801,ミルタザピン錠３０ｍｇ「日新」,1179051F2165
622659201,パロキセチン錠５ｍｇ「フェルゼン」,1179041F3010
622659301,パロキセチン錠１０ｍｇ「フェルゼン」,1179041F1017
622659401,パロキセチン錠２０ｍｇ「フェルゼン」,1179041F2013
622659501,ミルタザピン錠１５ｍｇ「フェルゼン」,1179051F1193
622659601,ミルタザピン錠３０ｍｇ「フェルゼン」,1179051F2190
622659901,パキシルＣＲ錠６．２５ｍｇ,1179041G3023
622660301,ミルタザピン錠１５ｍｇ「共創未来」,1179051F1096
622660401,ミルタザピン錠３０ｍｇ「共創未来」,1179051F2092
622661801,ミルタザピン錠１５ｍｇ「杏林」,1179051F1100
622661901,ミルタザピン錠３０ｍｇ「杏林」,1179051F2106
622662901,ミルタザピン錠１５ｍｇ「武田テバ」,1179051F1134
622663001,ミルタザピン錠３０ｍｇ「武田テバ」,1179051F2130
622663201,ミルタザピン錠１５ｍｇ「アメル」,1179051F1088
622663301,ミルタザピン錠３０ｍｇ「アメル」,1179051F2084
622664401,ミルタザピン錠１５ｍｇ「ＪＧ」,1179051F1053
622664501,ミルタザピン錠３０ｍｇ「ＪＧ」,1179051F2050
622666401,ミルタザピンＯＤ錠１５ｍｇ「ニプロ」,1179051F3064
622666501,ミルタザピンＯＤ錠３０ｍｇ「ニプロ」,1179051F4060
622666601,ミルタザピン錠１５ｍｇ「ニプロ」,1179051F1177
622666701,ミルタザピン錠３０ｍｇ「ニプロ」,1179051F2173
622667801,ミルタザピン錠１５ｍｇ「明治」,1179051F1207
622667901,ミルタザピン錠３０ｍｇ「明治」,1179051F2203
622675901,レクサプロ錠２０ｍｇ,1179054F2029
622689800,セルトラリン塩酸塩２５ｍｇ口腔内崩壊錠,1179046F4019
622689900,セルトラリン塩酸塩５０ｍｇ口腔内崩壊錠,1179046F5015
622699301,トリンテリックス錠１０ｍｇ,1179060F1028
622699401,トリンテリックス錠２０ｍｇ,1179060F2024
622716000,ミルタザピン１５ｍｇ錠,1179051F1010
622716100,ミルタザピン３０ｍｇ錠,1179051F2017
622716200,ミルタザピン１５ｍｇ口腔内崩壊錠,1179051F3013
622716300,ミルタザピン３０ｍｇ口腔内崩壊錠,1179051F4010
