請求コード,傷病名名称
4373012,脳底動脈瘤
4373014,脳動静脈瘻
4373015,脳動脈瘤
4373020,後大脳動脈瘤
4373028,紡錘状脳動脈瘤
4378007,内頚動脈海綿静脈洞瘻
4428003,椎骨動脈瘤
8830739,ウィリス動脈環動脈瘤
8833591,後天性脳動静脈瘻
8838721,のう状脳動脈瘤
8842858,未破裂脳動脈瘤
8842952,前大脳動脈瘤
8843057,硬膜動静脈瘻
8843753,内頚動脈脳動脈瘤
8844427,後下小脳動脈瘤
8844432,後交通動脈瘤
8844485,上小脳動脈瘤
8844502,前下小脳動脈瘤
8844561,内頚動脈後交通動脈分岐部動脈瘤
8846034,内頚動脈眼動脈分岐部動脈瘤
9009002,偽性脳動脈瘤
8842565,急性発症の血管性認知症
8842571,血管性認知症
8848380,高安動脈炎
8836338,先天性脳動静脈瘤
8842855,未破裂先天性脳動静脈瘤
8844649,先天性硬膜動静脈瘻
8847851,奇異性脳塞栓症
8831740,外傷性硬膜動静脈瘻
8843742,脊髄硬膜動静脈瘻
8848339,後天性脊髄硬膜動静脈瘻
2280110,静脈性血管腫
8846109,基底核部静脈性血管腫
8846127,後頭葉静脈性血管腫
8846147,小脳静脈性血管腫
8846181,前頭葉静脈性血管腫
8846183,側頭葉静脈性血管腫
8846191,頭頂葉静脈性血管腫
8846205,脳室静脈性血管腫
4375001,もやもや病
4375003,成人もやもや病
4467003,大動脈炎症候群
8839589,ファブリー病
4100008,冠状動脈解離
4411007,急性大動脈解離
8842477,急性大動脈解離ＤｅＢａｋｅｙＩ
8842478,急性大動脈解離ＤｅＢａｋｅｙＩＩ
8842479,急性大動脈解離ＤｅＢａｋｅｙＩＩＩａ
8842480,急性大動脈解離ＤｅＢａｋｅｙＩＩＩｂ
8842481,急性大動脈解離ＳｔａｎｆｏｒｄＡ
8842482,急性大動脈解離ＳｔａｎｆｏｒｄＢ
8842515,早期血栓閉鎖型大動脈解離
8842856,未破裂椎骨動脈解離
8842857,未破裂内頚動脈解離
8844590,腹腔動脈解離
8844847,肝動脈解離
8844866,後下小脳動脈解離
8844868,後大脳動脈解離
8844885,上腸間膜動脈解離
8844890,前大脳動脈解離
8844900,中大脳動脈解離
8844905,脳底動脈解離
8844910,脾動脈解離
8844922,慢性大動脈解離
8848374,総腸骨動脈解離
8848398,腸骨動脈解離
8849042,破裂性椎骨動脈解離によるくも膜下出血
8849043,破裂性内頚動脈解離によるくも膜下出血
8849596,外傷性胸部大動脈解離
2280017,海綿状血管腫
8846100,海綿静脈洞部海綿状血管腫
8846108,基底核部海綿状血管腫
8846126,後頭葉海綿状血管腫
8846145,小脳海綿状血管腫
8846146,小脳橋角部海綿状血管腫
8846180,前頭葉海綿状血管腫
8846182,側頭葉海綿状血管腫
8846184,側脳室海綿状血管腫
8846186,第三脳室壁海綿状血管腫
8846190,頭頂葉海綿状血管腫
8846203,脳幹部海綿状血管腫
8846204,脳室海綿状血管腫
8846232,モンロー孔海綿状血管腫
8846800,多発性海綿状血管腫
8848650,脳海綿状血管腫合併妊娠
8838680,脳アミロイド血管症
2512009,医原性低血糖症
8830649,インスリン低血糖
8837872,低血糖性脳症
8839324,非糖尿病性低血糖性昏睡
8840698,夜間低血糖症
8845065,１型糖尿病性低血糖性昏睡
8830028,１型糖尿病性ケトアシドーシス
8841680,１型糖尿病・ケトアシドーシス合併あり
8843121,ウイルス性糖尿病・ケトアシドーシス合併有
8843376,膵性糖尿病・ケトアシドーシス合併あり
8843389,ステロイド糖尿病・ケトアシドーシス合併有
8843449,二次性糖尿病・ケトアシドーシス合併あり
8843620,薬剤性糖尿病・ケトアシドーシス合併あり
8844025,緩徐進行１型糖尿病・ケトアシドーシス有
8849471,ミトコンドリア糖尿病ケトアシドーシス合併
8849587,肝性糖尿病・ケトアシドーシス合併あり
3942006,僧帽弁狭窄兼閉鎖不全症
8836277,先天性僧帽弁狭窄兼閉鎖不全症
8848940,僧帽弁狭窄兼閉鎖不全症兼大動脈弁狭窄症
8848941,僧帽弁狭窄兼閉鎖不全兼大動脈弁閉鎖不全症
7100033,抗リン脂質抗体症候群
7100034,原発性抗リン脂質抗体症候群
8848246,抗リン脂質抗体症候群合併妊娠
3001031,ヒステリー性てんかん
3450001,てんかん小発作
3451013,てんかん大発作
3451016,術後てんかん
3451019,前頭葉てんかん
3454009,側頭葉てんかん
3455001,ジャクソンてんかん
3455005,局所性てんかん
3455006,光原性てんかん
3455010,焦点性てんかん
3455017,腹部てんかん
3456004,点頭てんかん
3457003,持続性部分てんかん
3458003,アルコールてんかん
3458007,自律神経てんかん
3458012,症候性てんかん
3458020,聴覚反射てんかん
3458023,脳卒中後てんかん
3458024,遅発性てんかん
3458025,難治性てんかん
3459001,てんかん
3459004,てんかん性精神病
3459009,てんかん様発作
3459016,反応性てんかん
3459017,後天性てんかん
8830276,アトニー性非特異性てんかん発作
8834779,小児期アブサンスてんかん
8834977,進行性ミオクローヌスてんかん
8835246,若年性アブサンスてんかん
8835263,若年性ミオクローヌスてんかん
8835724,睡眠喪失てんかん
8835743,ストレスてんかん
8837936,てんかん重積状態
8837937,てんかん性自動症
8839840,部分てんかん
8839994,辺縁系てんかん人格症候群
8840001,片側痙攣片麻痺てんかん症候群
8840422,ミオクローヌスてんかん
8840723,薬物てんかん
8841031,良性乳児ミオクローヌスてんかん
8846326,脳炎後てんかん
8846872,てんかん単純部分発作
8846873,てんかん複雑部分発作
8847543,乳児重症ミオクロニーてんかん
8848045,抗てんかん薬骨軟化症
8848086,てんかん合併妊娠
8849414,てんかん発作による頭痛
8849492,良性成人型家族性ミオクローヌスてんかん
8849521,海馬硬化を伴う内側側頭葉てんかん
8849538,徐波睡眠期持続性棘徐波てんかん
8849552,ミオクロニー欠神てんかん
8849553,ミオクロニー脱力発作を伴うてんかん
8849555,遊走性焦点発作を伴う乳児てんかん
9070002,外傷性てんかん
9070012,外傷早期てんかん
7598010,マルファン症候群
8846906,非弁膜症性心房細動
8846941,弁膜症性心房細動
4431010,閉塞性血栓血管炎
8836528,全身性閉塞性血栓血管炎
8841702,統合失調症
8842258,型分類困難な統合失調症
8842260,急性統合失調症
8842263,境界型統合失調症
8842264,緊張型統合失調症
8842266,偽神経症性統合失調症
8842269,残遺型統合失調症
8842271,小児期型統合失調症
8842278,潜在性統合失調症
8842279,前駆期統合失調症
8842281,体感症性統合失調症
8842283,単純型統合失調症
8842284,遅発性統合失調症
8842288,統合失調症後抑うつ
8842295,統合失調症様状態
8842300,破瓜型統合失調症
8842301,妄想型統合失調症
8842698,急性統合失調症性エピソード
8842699,急性統合失調症様精神病性障害
8842801,短期統合失調症様障害
8842813,統合失調症型障害
8842815,統合失調症症状を伴う急性錯乱
8842816,統合失調症症状あり急性多形性精神病性障害
8842817,統合失調症症状を伴う類循環精神病
8842818,統合失調症症状を伴わない急性錯乱
8842819,統合失調症症状なし急性多形性精神病性障害
8842820,統合失調症症状を伴わない類循環精神病
8842822,統合失調症性反応
8845711,統合失調症型パーソナリティ障害
8845712,統合失調症性パーソナリティ障害
4239017,膠原病性心膜炎
7109004,膠原病
8833428,膠原病に伴う貧血
8848245,膠原病性間質性肺炎
2890011,真性赤血球増加症
8842256,うつ病型統合失調感情障害
8842268,混合型統合失調感情障害
8842280,躁病型統合失調感情障害
8842285,統合失調感情障害
