,請求コード,傷病名名称,ショウビョウメイ,ICD10コード
91,8842816,統合失調症症状を伴う急性多形性精神病性障害,トウゴウシッチョウショウショウジョウヲトモナウキュウセイタケイセイセイシンビョウセイショウガイ,F231
92,8842817,統合失調症症状を伴う類循環精神病,トウゴウシッチョウショウショウジョウヲトモナウルイジュンカンセイシンビョウ,F231
93,8844095,パニック障害,パニックショウガイ,F410
94,8844096,パニック発作,パニックホッサ,F410
95,8845286,最重度知的障害,サイジュウドチテキショウガイ,F73
96,8845287,最重度知的障害・行動機能障害なしか最小限,サイジュウドチテキショウガイ・コウドウキノウショウガイナシカサイショウゲン,F730
97,8845288,最重度知的障害・行動機能障害の言及なし,サイジュウドチテキショウガイ・コウドウキノウショウガイノゲンキュウナシ,F739
98,8845289,最重度知的障害・その他の行動機能障害あり,サイジュウドチテキショウガイ・ソノタノコウドウキノウショウガイアリ,F738
99,8845290,最重度知的障害・要治療の行動機能障害あり,サイジュウドチテキショウガイ・ヨウチリョウノコウドウキノウショウガイアリ,F731
100,8845311,自閉的特徴を伴う知的障害,ジヘイテキトクチョウヲトモナウチテキショウガイ,F841
101,8845312,重症心身障害,ジュウショウシンシンショウガイ,F791
102,8845313,重度知的障害,ジュウドチテキショウガイ,F72
103,8845314,重度知的障害・行動機能障害なしか最小限,ジュウドチテキショウガイ・コウドウキノウショウガイナシカサイショウゲン,F720
104,8845315,重度知的障害・行動機能障害の言及なし,ジュウドチテキショウガイ・コウドウキノウショウガイノゲンキュウナシ,F729
105,8845316,重度知的障害・その他の行動機能障害あり,ジュウドチテキショウガイ・ソノタノコウドウキノウショウガイアリ,F728
106,8845317,重度知的障害・要治療の行動機能障害あり,ジュウドチテキショウガイ・ヨウチリョウノコウドウキノウショウガイアリ,F721
107,8845414,知的障害,チテキショウガイ,F79
108,8845415,知的障害・行動機能障害なしか最小限,チテキショウガイ・コウドウキノウショウガイナシカサイショウゲン,F790
109,8845416,知的障害・行動機能障害の言及なし,チテキショウガイ・コウドウキノウショウガイノゲンキュウナシ,F799
110,8845417,知的障害・その他の行動機能障害あり,チテキショウガイ・ソノタノコウドウキノウショウガイアリ,F798
111,8845418,知的障害・要治療の行動機能障害あり,チテキショウガイ・ヨウチリョウノコウドウキノウショウガイアリ,F791
112,8845419,知的障害性精神病,チテキショウガイセイセイシンビョウ,F28
113,8845420,知的障害と常同運動に関連した過動性障害,チテキショウガイトジョウドウウンドウニカンレンシタカドウセイショウガイ,F844
114,8845434,中等度知的障害,チュウトウドチテキショウガイ,F71
115,8845435,中等度知的障害・行動機能障害なしか最小限,チュウトウドチテキショウガイ・コウドウキノウショウガイナシカサイショウゲン,F710
116,8845436,中等度知的障害・行動機能障害の言及なし,チュウトウドチテキショウガイ・コウドウキノウショウガイノゲンキュウナシ,F719
117,8845437,中等度知的障害・その他の行動機能障害あり,チュウトウドチテキショウガイ・ソノタノコウドウキノウショウガイアリ,F718
118,8845438,中等度知的障害・要治療の行動機能障害あり,チュウトウドチテキショウガイ・ヨウチリョウノコウドウキノウショウガイアリ,F711
119,8845631,アルコール性遅発性パーソナリティ障害,アルコールセイチハツセイパーソナリティショウガイ,F107
120,8845634,依存性パーソナリティ障害,イゾンセイパーソナリティショウガイ,F607
121,8845638,エキセントリックパーソナリティ障害,エキセントリックパーソナリティショウガイ,F608
122,8845639,演技性パーソナリティ障害,エンギセイパーソナリティショウガイ,F604
123,8845645,器質性パーソナリティ障害,キシツセイパーソナリティショウガイ,F070
124,8845647,境界型パーソナリティ障害,キョウカイガタパーソナリティショウガイ,F603b
125,8845648,狂信的パーソナリティ障害,キョウシンテキパーソナリティショウガイ,F600
126,8845650,強迫観念パーソナリティ障害,キョウハクカンネンパーソナリティショウガイ,F605
127,8845653,軽佻者型パーソナリティ障害,ケイチョウシャガタパーソナリティショウガイ,F608
128,8845657,好訴的パーソナリティ障害,コウソテキパーソナリティショウガイ,F600
129,8845677,初老期性パーソナリティ障害,ショロウキセイパーソナリティショウガイ,F070
130,8845682,情緒不安定性パーソナリティ障害,ジョウチョフアンテイセイパーソナリティショウガイ,F603d
131,8845684,精神神経症的パーソナリティ障害,セイシンシンケイショウテキパーソナリティショウガイ,F608
132,8845685,精神的幼児性パーソナリティ障害,セイシンテキヨウジセイパーソナリティショウガイ,F604
133,8845686,精神病質的パーソナリティ障害,セイシンビョウシツテキパーソナリティショウガイ,F602
134,8845699,多重パーソナリティ障害,タジュウパーソナリティショウガイ,F448
135,8845711,統合失調症型パーソナリティ障害,トウゴウシッチョウショウガタパーソナリティショウガイ,F21
136,8845712,統合失調症性パーソナリティ障害,トウゴウシッチョウショウセイパーソナリティショウガイ,F601
137,8845723,パーソナリティ障害,パーソナリティショウガイ,F609
138,8845725,非社会性パーソナリティ障害,ヒシャカイセイパーソナリティショウガイ,F602
139,8845726,ヒステリー性パーソナリティ障害,ヒステリーセイパーソナリティショウガイ,F604
140,8845735,未熟型パーソナリティ障害,ミジュクガタパーソナリティショウガイ,F608
141,8845736,妄想性パーソナリティ障害,モウソウセイパーソナリティショウガイ,F600
142,8845739,抑うつ性素行障害,ヨクウツセイソコウショウガイ,F920
143,8845740,抑うつ性パーソナリティ障害,ヨクウツセイパーソナリティショウガイ,F341
144,8845858,回避性パーソナリティ障害,カイヒセイパーソナリティショウガイ,F606
145,8845952,衝動型パーソナリティ障害,ショウドウガタパーソナリティショウガイ,F603a
146,8849647,双極２型障害,ソウキョク２ガタショウガイ,F318
147,8850488,双極１型障害,ソウキョク１ガタショウガイ,F319
